name	tdl	sym	uniprot	chr
14-3-3 protein epsilon	Tbio	YWHAE	P62258	17p13.3
14-3-3 protein eta	Tchem	YWHAH	Q04917	22q12.3
14-3-3 protein theta	Tchem	YWHAQ	P27348	2p25.1
HLA class I histocompatibility antigen, A-1 alpha chain	Tbio	HLA-A	P30443	6p22.1
HLA class I histocompatibility antigen, A-3 alpha chain	Tbio	HLA-A	P04439	6p22.1
HLA class I histocompatibility antigen, B-7 alpha chain	Tbio	HLA-B	P01889	6p21.33
HLA class I histocompatibility antigen, B-13 alpha chain	Tbio	HLA-B	P30461	6p21.33
HLA class I histocompatibility antigen, B-14 alpha chain	Tbio	HLA-B	P30462	6p21.33
HLA class I histocompatibility antigen, B-15 alpha chain	Tbio	HLA-B	P30464	6p21.33
HLA class I histocompatibility antigen, B-37 alpha chain	Tbio	HLA-B	P18463	6p21.33
HLA class I histocompatibility antigen, B-38 alpha chain	Tbio	HLA-B	Q95365	6p21.33
HLA class I histocompatibility antigen, B-40 alpha chain	Tbio	HLA-B	Q04826	6p21.33
HLA class I histocompatibility antigen, B-41 alpha chain	Tbio	HLA-B	P30479	6p21.33
HLA class I histocompatibility antigen, B-45 alpha chain	Tbio	HLA-B	P30483	6p21.33
HLA class I histocompatibility antigen, B-48 alpha chain	Tbio	HLA-B	P30486	6p21.33
HLA class I histocompatibility antigen, B-49 alpha chain	Tbio	HLA-B	P30487	6p21.33
HLA class I histocompatibility antigen, B-50 alpha chain	Tbio	HLA-B	P30488	6p21.33
HLA class I histocompatibility antigen, B-51 alpha chain	Tbio	HLA-B	P18464	6p21.33
HLA class I histocompatibility antigen, B-52 alpha chain	Tbio	HLA-B	P30490	6p21.33
HLA class I histocompatibility antigen, B-53 alpha chain	Tbio	HLA-B	P30491	6p21.33
HLA class I histocompatibility antigen, B-54 alpha chain	Tbio	HLA-B	P30492	6p21.33
HLA class I histocompatibility antigen, B-55 alpha chain	Tbio	HLA-B	P30493	6p21.33
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	Tchem	HSD3B1	P14060	1p12
3 beta-hydroxysteroid dehydrogenase type 7	Tbio	HSD3B7	Q9H2F3	16p11.2
SH3 domain-binding protein 1	Tbio	SH3BP1	Q9Y3L3	22q13.1
5-hydroxytryptamine receptor 2B	Tclin	HTR2B	P41595	2q37.1
5-hydroxytryptamine receptor 2C	Tclin	HTR2C	P28335	Xq23
Cytosolic 5'-nucleotidase 1B	Tbio	NT5C1B	Q96P26	2p24.2
Cytosolic 5'-nucleotidase 3A	Tbio	NT5C3A	Q9H0P0	7p14.3
5'-nucleotidase	Tchem	NT5E	P21589	6q14.3
